Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Extra,Stav,Zdroj,Spárováno,Odkaz na auto
BAIC X5 1.5T CVT,699900,4,2025,Benzín,1.5,,,138,Automatická,Ano,,,Ne,SUV,,,4x2 T+,Nové,Sauto.cz,Ano,
BAIC X5 1.5T CVT,560000,31665,2024,LPG + benzín,1.5,Turbo,,130,Automatická,,,,Ne,SUV,,Ano,"Záruka, LPG",Ojeté,Sauto.cz,Ano,
BAIC X5 1.5T CVT,699900,4,2025,Benzín,1.5,,,138,Automatická,Ano,,,Ne,SUV,,,4x2 T+,Nové,Sauto.cz,Ano,
BAIC X5 1.5T CVT,699900,4,2025,Benzín,1.5,,,138,Automatická,Ano,,,Ne,SUV,,,4x2 T+,Nové,Sauto.cz,Ano,
BAIC X5 1.5T CVT,699900,8,2025,Benzín,1.5,,,138,Automatická,Ano,,,Ne,SUV,,,4x2 T+,Nové,Sauto.cz,Ano,
BAIC X5 1.5T CVT,699900,8,2025,Benzín,1.5,,,138,Automatická,Ano,,,Ne,SUV,,,4x2 T+,Nové,Sauto.cz,Ano,
BAIC X5 1.5T CVT,699900,8,2025,Benzín,1.5,,,138,Automatická,Ano,,,Ne,SUV,,,4x2 T+,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,639000,10,2025,Benzín,1.5,,,138,Automatická,,,,Ne,SUV,,,T AUT PANORAMA LED,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,639000,10,2025,Benzín,1.5,,,138,Automatická,,,,Ne,SUV,,,T AUT PANORAMA LED,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,643900,10,2025,Benzín,1.5,,,130,Automatická,,,,Ne,SUV,,,T AUT Led 4x2 Nové,Ojeté,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,628996,9,2025,Benzín,1.5,,,130,Automatická,,,,Ne,SUV,,,T NOVÉ VOZIDLO,Ojeté,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,598800,,2026,Benzín,1.5,,,130,Automatická,,,,Ne,SUV,,,T AUTOMAT MAX.VÝBAVA,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,599000,,2026,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,Luxury,,T 4x2,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,679900,,2025,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,,,ALL IN T 4×2,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,679900,5,2025,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,,,ALL IN T 4×2,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,679900,5,2024,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,,,ALL IN T 4×2,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,679900,5,2025,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,,,ALL IN T 4×2,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,679900,5,2025,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,,,ALL IN T 4×2,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,599900,4500,2025,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,,,T 4x2 ALL IN,Předváděcí,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,649900,,2025,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,,,T 4x2 ALL IN,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,649900,,2025,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,,,T 4x2 ALL IN,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,649900,,2025,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,,,T 4x2 ALL IN,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,649900,5,2024,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,,,ALL IN T 4×2,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,649900,5,2024,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,,,ALL IN T 4×2,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,649900,5,2024,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,,,T 4x2 ALL IN MY2,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,649900,5,2024,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,,,ALL IN T 4×2,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,599900,4500,2024,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,,,ALL IN T 4×2,Předváděcí,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,679900,8,2025,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,,,4x2 T+,Nové,Sauto.cz,Ano,
BAIC Beijing X55 1.5 Turbo 7DCT,679900,8,2025,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,,,4x2 T+,Nové,Sauto.cz,Ano,
